genre,appearances
Reggae Rock,1
Revolutionary Opera,1
Rhythm & Blues,8
Ricercar,1
Ritual Ambient,2
Rock,1
Rock & Roll,4
Rock Opera,4
Rockabilly,3
Rocksteady,1
Romanticism,4
Roots Reggae,1
Roots Rock,4
Saeta,1
Samba,1
Samba Soul,3
Samba de roda,1
Samba de terreiro,2
Samba-canção,5
Samba-jazz,3
Samba-rock,2
Satire,2
Sea Shanty,1
Serialism,1
Shibuya-kei,2
Shoegaze,12
Singer-Songwriter,17
Ska,1
Slacker Rock,9
Slowcore,7
Sludge Metal,6
Smooth Jazz,4
Smooth Soul,10
Soft Rock,7
Sonorism,1
Sophisti-Pop,8
Soul,5
Soul Blues,1
Soul Jazz,6
Sound Collage,7
Sound Effects,3
Southern Metal,2
Space Age Pop,3
Space Ambient,4
Space Disco,1
Space Rock,9
Space Rock Revival,9
Spaghetti Western,1
Speed Metal,4
Spiritual Jazz,4
Spirituals,1
Spoken Word,9
Stoner Metal,6
Stoner Rock,5
Sunshine Pop,10
Surf Punk,2
Surf Rock,3
Swing,2
Swing Revival,1
Symphonic Prog,10
Symphonic Rock,3
Synth Funk,14
Synth Punk,3
Synthpop,12
Synthwave,1
Talking Blues,1
Tape Music,3
Technical Death Metal,4
Technical Thrash Metal,3
Television Music,1
Thai Music,1
Third Stream,4
Thrash Metal,5
Tone Poem,1
Totalism,5
Traditional Country,1
Traditional Doom Metal,4
Trap,7
Trap Metal,1
Tribal Ambient,2
Tribal House,1
Trip Hop,13
Tropicália,2
Turntable Music,1
Turntablism,9
Twee Pop,2
Vapor,1
Vaporwave,2
Vaudeville,1
Viking Metal,1
Vocal Jazz,4
Waltz,3
Winter Synth,1
Wonky,2
Yacht Rock,2
Yodeling,1
